time,instrument,period,high,low,open,close
2012-07-16 08:10:00,6A,5,1.0153,1.0147,1.0153,1.0149
2012-07-16 08:15:00,6A,5,1.0151,1.0144,1.015,1.0144
2012-07-16 08:20:00,6A,5,1.0146,1.0142,1.0144,1.0146
2012-07-16 08:25:00,6A,5,1.0154,1.0143,1.0146,1.0153
2012-07-16 08:30:00,6A,5,1.0155,1.0151,1.0154,1.0152
2012-07-16 08:35:00,6A,5,1.0168,1.0146,1.0152,1.0163
2012-07-16 08:40:00,6A,5,1.0167,1.0157,1.0162,1.0161
2012-07-16 08:45:00,6A,5,1.0166,1.0156,1.0162,1.0159
2012-07-16 08:50:00,6A,5,1.0163,1.0158,1.016,1.016
2012-07-16 08:55:00,6A,5,1.0167,1.0159,1.016,1.0165
2012-07-16 09:00:00,6A,5,1.0171,1.0163,1.0164,1.0168
2012-07-16 09:05:00,6A,5,1.0173,1.0166,1.0168,1.017
2012-07-16 09:10:00,6A,5,1.0178,1.017,1.0171,1.0176
2012-07-16 09:15:00,6A,5,1.0177,1.0168,1.0176,1.0169
2012-07-16 09:20:00,6A,5,1.0171,1.0167,1.0169,1.0168
2012-07-16 09:25:00,6A,5,1.0174,1.0168,1.0168,1.0173
2012-07-16 09:30:00,6A,5,1.0178,1.0172,1.0172,1.0176
2012-07-16 09:35:00,6A,5,1.0178,1.0172,1.0176,1.0173
2012-07-16 09:40:00,6A,5,1.0173,1.0169,1.0173,1.0169
2012-07-16 09:45:00,6A,5,1.0171,1.0166,1.0168,1.0169
2012-07-16 09:50:00,6A,5,1.0171,1.0167,1.0169,1.0167
2012-07-16 09:55:00,6A,5,1.0169,1.0163,1.0166,1.0164
2012-07-16 10:00:00,6A,5,1.0167,1.0161,1.0164,1.0167
2012-07-16 10:05:00,6A,5,1.017,1.0163,1.0166,1.0164
2012-07-16 10:10:00,6A,5,1.0163,1.0154,1.0163,1.0157
2012-07-16 10:15:00,6A,5,1.016,1.0156,1.0157,1.0157
2012-07-16 10:20:00,6A,5,1.0161,1.0157,1.0157,1.0161
2012-07-16 10:25:00,6A,5,1.0162,1.0157,1.0161,1.0162
2012-07-16 10:30:00,6A,5,1.0166,1.016,1.0162,1.0166
2012-07-16 10:35:00,6A,5,1.0169,1.0165,1.0165,1.0167
2012-07-16 10:40:00,6A,5,1.0172,1.0166,1.0166,1.017
2012-07-16 10:45:00,6A,5,1.0176,1.0168,1.0171,1.0174
2012-07-16 10:50:00,6A,5,1.0176,1.0173,1.0175,1.0173
2012-07-16 10:55:00,6A,5,1.0175,1.0172,1.0173,1.0174
2012-07-16 11:00:00,6A,5,1.0176,1.0172,1.0173,1.0176
2012-07-16 11:05:00,6A,5,1.0177,1.0173,1.0176,1.0176
2012-07-16 11:10:00,6A,5,1.0176,1.0173,1.0175,1.0173
2012-07-16 11:15:00,6A,5,1.0182,1.0173,1.0173,1.0181
2012-07-16 11:20:00,6A,5,1.0185,1.018,1.0181,1.0184
2012-07-16 11:25:00,6A,5,1.0184,1.018,1.0183,1.0183
2012-07-16 11:30:00,6A,5,1.0183,1.018,1.0183,1.0182
2012-07-16 11:35:00,6A,5,1.0185,1.0176,1.0181,1.0177
2012-07-16 11:40:00,6A,5,1.0178,1.0176,1.0177,1.0177
2012-07-16 11:45:00,6A,5,1.018,1.0176,1.0178,1.0178
2012-07-16 11:50:00,6A,5,1.018,1.0178,1.0178,1.0179
2012-07-16 11:55:00,6A,5,1.018,1.0179,1.018,1.0179
